# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ArmSCII
#            https://en.wikipedia.org/wiki/Code_page_437


# characters 0x00-0x7f as in code page 437

0x80	0x0531	#ARMENIAN CAPITAL LETTER AYB
0xd7	0x256b	#BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
0xd8	0x256a	#BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xd9	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xda	0x250c	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xdb	0x2588	#FULL BLOCK
0xdc	0x058e	#LEFT-FACING ARMENIAN ETERNITY SIGN
0xdd	0x058a	#ARMENIAN HYPHEN
0xde	0x2026	#HORIZONTAL ELLIPSIS
0xdf	0x055e	#ARMENIAN QUESTION MARK
0xe0	0x0548	#ARMENIAN CAPITAL LETTER VO
0xe1	0x0578	#ARMENIAN SMALL LETTER VO
0xe2	0x0549	#ARMENIAN CAPITAL LETTER CHA
0xe3	0x0579	#ARMENIAN SMALL LETTER CHA
0xe4	0x054a	#ARMENIAN CAPITAL LETTER PEH
0xe5	0x057a	#ARMENIAN SMALL LETTER PEH
0xe6	0x054b	#ARMENIAN CAPITAL LETTER JHEH
0xe7	0x057b	#ARMENIAN SMALL LETTER JHEH
0xe8	0x054c	#ARMENIAN CAPITAL LETTER RA
0xe9	0x057c	#ARMENIAN SMALL LETTER RA
0xea	0x054d	#ARMENIAN CAPITAL LETTER SEH
0xeb	0x057d	#ARMENIAN SMALL LETTER SEH
0xec	0x054e	#ARMENIAN CAPITAL LETTER VEW
0xed	0x057e	#ARMENIAN SMALL LETTER VEW
0xee	0x054f	#ARMENIAN CAPITAL LETTER TIWN
0xef	0x057f	#ARMENIAN SMALL LETTER TIWN
0xf0	0x0550	#ARMENIAN CAPITAL LETTER REH
0xf1	0x0580	#ARMENIAN SMALL LETTER REH
0xf2	0x0551	#ARMENIAN CAPITAL LETTER CO
0xf3	0x0581	#ARMENIAN SMALL LETTER CO
0xf4	0x0552	#ARMENIAN CAPITAL LETTER YIWN
0xf5	0x0582	#ARMENIAN SMALL LETTER YIWN
0xf6	0x0553	#ARMENIAN CAPITAL LETTER PIWR
0xf7	0x0583	#ARMENIAN SMALL LETTER PIWR
0xf8	0x0554	#ARMENIAN CAPITAL LETTER KEH
0xf9	0x0584	#ARMENIAN SMALL LETTER KEH
0xfa	0x0555	#ARMENIAN CAPITAL LETTER OH
0xfb	0x0585	#ARMENIAN SMALL LETTER OH
0xfc	0x0556	#ARMENIAN CAPITAL LETTER FEH
0xfd	0x0586	#ARMENIAN SMALL LETTER FEH
0xfe	0x055a	#ARMENIAN APOSTROPHE
0xff	0x00a0	#NO-BREAK SPACE
