# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ISO/IEC_8859-10


# characters 0x00-0x7f as in code page 437

0x80		#UNDEFINED
0x81		#UNDEFINED
0x82		#UNDEFINED
0x83		#UNDEFINED
0x84		#UNDEFINED
0x85		#UNDEFINED
0x86		#UNDEFINED
0x87		#UNDEFINED
0x88		#UNDEFINED
0x89		#UNDEFINED
0x8a		#UNDEFINED
0x8b		#UNDEFINED
0x8c		#UNDEFINED
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91		#UNDEFINED
0x92		#UNDEFINED
0x93		#UNDEFINED
0x94		#UNDEFINED
0x95		#UNDEFINED
0x96		#UNDEFINED
0x97		#UNDEFINED
0x98		#UNDEFINED
0x99		#UNDEFINED
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0	0x00a0  #NO-BREAK SPACE
0xbd	0x2015  #HORIZONTAL BAR
0xbe	0x016b  #LATIN SMALL LETTER U WITH MACRON
0xbf	0x014b  #LATIN SMALL LETTER ENG
0xc0	0x0100  #LATIN CAPITAL LETTER A WITH MACRON
0xc1	0x00c1  #LATIN CAPITAL LETTER A WITH ACUTE
0xc2	0x00c2  #LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xc3	0x00c3  #LATIN CAPITAL LETTER A WITH TILDE
0xc4	0x00c4  #LATIN CAPITAL LETTER A WITH DIAERESIS
0xc5	0x00c5  #LATIN CAPITAL LETTER A WITH RING ABOVE
0xc6	0x00c6  #LATIN CAPITAL LIGATURE AE
0xc7	0x012e  #LATIN CAPITAL LETTER I WITH OGONEK
0xc8	0x010c  #LATIN CAPITAL LETTER C WITH CARON
0xc9	0x00c9  #LATIN CAPITAL LETTER E WITH ACUTE
0xca	0x0118  #LATIN CAPITAL LETTER E WITH OGONEK
0xcb	0x00cb  #LATIN CAPITAL LETTER E WITH DIAERESIS
0xcc	0x0116  #LATIN CAPITAL LETTER E WITH DOT ABOVE
0xcd	0x00cd  #LATIN CAPITAL LETTER I WITH ACUTE
0xce	0x00ce  #LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xcf	0x00cf  #LATIN CAPITAL LETTER I WITH DIAERESIS
0xd0	0x00d0  #LATIN CAPITAL LETTER ETH
0xd1	0x0145  #LATIN CAPITAL LETTER N WITH CEDILLA
0xd2	0x014c  #LATIN CAPITAL LETTER O WITH MACRON
0xd3	0x00d3  #LATIN CAPITAL LETTER O WITH ACUTE
0xd4	0x00d4  #LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xd5	0x00d5  #LATIN CAPITAL LETTER O WITH TILDE
0xd6	0x00d6  #LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7	0x0168  #LATIN CAPITAL LETTER U WITH TILDE
0xd8	0x00d8  #LATIN CAPITAL LETTER O WITH STROKE
0xd9	0x0172  #LATIN CAPITAL LETTER U WITH OGONEK
0xda	0x00da  #LATIN CAPITAL LETTER U WITH ACUTE
0xdb	0x00db  #LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xdc	0x00dc  #LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd	0x00dd  #LATIN CAPITAL LETTER Y WITH ACUTE
0xde	0x00de  #LATIN CAPITAL LETTER THORN
0xdf	0x00df  #LATIN SMALL LETTER SHARP S
0xe0	0x0101  #LATIN SMALL LETTER A WITH MACRON
0xe1	0x00e1  #LATIN SMALL LETTER A WITH ACUTE
0xe2	0x00e2  #LATIN SMALL LETTER A WITH CIRCUMFLEX
0xe3	0x00e3  #LATIN SMALL LETTER A WITH TILDE
0xe4	0x00e4  #LATIN SMALL LETTER A WITH DIAERESIS
0xe5	0x00e5  #LATIN SMALL LETTER A WITH RING ABOVE
0xe6	0x00e6  #LATIN SMALL LIGATURE AE
0xe7	0x012f  #LATIN SMALL LETTER I WITH OGONEK
0xe8	0x010d  #LATIN SMALL LETTER C WITH CARON
0xe9	0x00e9  #LATIN SMALL LETTER E WITH ACUT
0xea	0x0119  #LATIN SMALL LETTER E WITH OGONEK
0xeb	0x00eb  #LATIN SMALL LETTER E WITH DIAERESIS
0xec	0x0117  #LATIN SMALL LETTER E WITH DOT ABOVE
0xed	0x00ed  #LATIN SMALL LETTER I WITH ACUTE
0xee	0x00ee  #LATIN SMALL LETTER I WITH CIRCUMFLEX
0xef	0x00ef  #LATIN SMALL LETTER I WITH DIAERESIS
0xf0	0x00f0  #LATIN SMALL LETTER ETH
0xf1	0x0146  #LATIN SMALL LETTER N WITH CEDILLA
0xf2	0x014d  #LATIN SMALL LETTER O WITH MACRON
0xf3	0x00f3  #LATIN SMALL LETTER O WITH ACUTE
0xf4	0x00f4  #LATIN SMALL LETTER O WITH CIRCUMFLEX
0xf5	0x00f5  #LATIN SMALL LETTER O WITH TILDE
0xf6	0x00f6  #LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x0169  #LATIN SMALL LETTER U WITH TILDE
0xf8	0x00f8  #LATIN SMALL LETTER O WITH STROKE
0xf9	0x0173  #LATIN SMALL LETTER U WITH OGONEK
0xfa	0x00fa  #LATIN SMALL LETTER U WITH ACUTE
0xfb	0x00fb  #LATIN SMALL LETTER U WITH CIRCUMFLEX
0xfc	0x00fc  #LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x00fd  #LATIN SMALL LETTER Y WITH ACUTE
0xfe	0x00fe  #LATIN SMALL LETTER THORN
0xff	0x0138  #LATIN SMALL LETTER KRA
