# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Code_page_922
#            https://en.wikipedia.org/wiki/ISO/IEC_8859-13


# characters 0x00-0x7f as in code page 437

0x80	0x2591 #LIGHT SHADE
0xd6	0x00d6 #LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7	0x00d7 #MULTIPLICATION SIGN
0xd8	0x00d8 #LATIN CAPITAL LETTER O WITH STROKE
0xd9	0x00d9 #LATIN CAPITAL LETTER U WITH GRAVE
0xda	0x00da #LATIN CAPITAL LETTER U WITH ACUTE
0xdb	0x00db #LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xdc	0x00dc #LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd	0x00dd #LATIN CAPITAL LETTER Y WITH ACUTE
0xde	0x017d #LATIN CAPITAL LETTER Z WITH CARON
0xdf	0x00df #LATIN SMALL LETTER SHARP S
0xe0	0x00e0 #LATIN SMALL LETTER A WITH GRAVE
0xe1	0x00e1 #LATIN SMALL LETTER A WITH ACUTE
0xe2	0x00e2 #LATIN SMALL LETTER A WITH CIRCUMFLEX
0xe3	0x00e3 #LATIN SMALL LETTER A WITH TILDE
0xe4	0x00e4 #LATIN SMALL LETTER A WITH DIAERESIS
0xe5	0x00e5 #LATIN SMALL LETTER A WITH RING ABOVE
0xe6	0x00e6 #LATIN SMALL LIGATURE AE
0xe7	0x00e7 #LATIN SMALL LETTER C WITH CEDILLA
0xe8	0x00e8 #LATIN SMALL LETTER E WITH GRAVE
0xe9	0x00e9 #LATIN SMALL LETTER E WITH ACUTE
0xea	0x00ea #LATIN SMALL LETTER E WITH CIRCUMFLEX
0xeb	0x00eb #LATIN SMALL LETTER E WITH DIAERESIS
0xec	0x00ec #LATIN SMALL LETTER I WITH GRAVE
0xed	0x00ed #LATIN SMALL LETTER I WITH ACUTE
0xee	0x00ee #LATIN SMALL LETTER I WITH CIRCUMFLEX
0xef	0x00ef #LATIN SMALL LETTER I WITH DIAERESIS
0xf0	0x0161 #LATIN SMALL LETTER S WITH CARON
0xf1	0x00f1 #LATIN SMALL LETTER N WITH TILDE
0xf2	0x00f2 #LATIN SMALL LETTER O WITH GRAVE
0xf3	0x00f3 #LATIN SMALL LETTER O WITH ACUTE
0xf4	0x00f4 #LATIN SMALL LETTER O WITH CIRCUMFLEX
0xf5	0x00f5 #LATIN SMALL LETTER O WITH TILDE
0xf6	0x00f6 #LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x00f7 #DIVISION SIGN
0xf8	0x00f8 #LATIN SMALL LETTER O WITH STROKE
0xf9	0x00f9 #LATIN SMALL LETTER U WITH GRAVE
0xfa	0x00fa #LATIN SMALL LETTER U WITH ACUTE
0xfb	0x00fb #LATIN SMALL LETTER U WITH CIRCUMFLEX
0xfc	0x00fc #LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x00fd #LATIN SMALL LETTER Y WITH ACUTE
0xfe	0x017e #LATIN SMALL LETTER Z WITH CARON
0xff	0x00ff ##LATIN SMALL LETTER Y WITH DIAERESIS
