# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Code_page_912
#            https://en.wikipedia.org/wiki/ISO/IEC_8859-2


# characters 0x00-0x7f as in code page 437

0x80	0x2591	#LIGHT SHADE
0xd3	0x00d3	#LATIN CAPITAL LETTER O WITH ACUTE
0xd4	0x00d4	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xd5	0x0150	#LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0xd6	0x00d6	#LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7	0x00d7	#MULTIPLICATION SIGN
0xd8	0x0158	#LATIN CAPITAL LETTER R WITH CARON
0xd9	0x016e	#LATIN CAPITAL LETTER U WITH RING ABOVE
0xda	0x00da	#LATIN CAPITAL LETTER U WITH ACUTE
0xdb	0x0170	#LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0xdc	0x00dc	#LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd	0x00dd	#LATIN CAPITAL LETTER Y WITH ACUTE
0xde	0x0162	#LATIN CAPITAL LETTER T WITH CEDILLA
0xdf	0x00df	#LATIN SMALL LETTER SHARP S
0xe0	0x0155	#LATIN SMALL LETTER R WITH ACUTE
0xe1	0x00e1	#LATIN SMALL LETTER A WITH ACUTE
0xe2	0x00e2	#LATIN SMALL LETTER A WITH CIRCUMFLEX
0xe3	0x0103	#LATIN SMALL LETTER A WITH BREVE
0xe4	0x00e4	#LATIN SMALL LETTER A WITH DIAERESIS
0xe5	0x013a	#LATIN SMALL LETTER L WITH ACUTE
0xe6	0x0107	#LATIN SMALL LETTER C WITH ACUTE
0xe7	0x00e7	#LATIN SMALL LETTER C WITH CEDILLA
0xe8	0x010d	#LATIN SMALL LETTER C WITH CARON
0xe9	0x00e9	#LATIN SMALL LETTER E WITH ACUTE
0xea	0x0119	#LATIN SMALL LETTER E WITH OGONEK
0xeb	0x00eb	#LATIN SMALL LETTER E WITH DIAERESIS
0xec	0x011b	#LATIN SMALL LETTER E WITH CARON
0xed	0x00ed	#LATIN SMALL LETTER I WITH ACUTE
0xee	0x00ee	#LATIN SMALL LETTER I WITH CIRCUMFLEX
0xef	0x010f	#LATIN SMALL LETTER D WITH CARON
0xf0	0x0111	#LATIN SMALL LETTER D WITH STROKE
0xf1	0x0144	#LATIN SMALL LETTER N WITH ACUTE
0xf2	0x0148	#LATIN SMALL LETTER N WITH CARON
0xf3	0x00f3	#LATIN SMALL LETTER O WITH ACUTE
0xf4	0x00f4	#LATIN SMALL LETTER O WITH CIRCUMFLEX
0xf5	0x0151	#LATIN SMALL LETTER O WITH DOUBLE ACUTE
0xf6	0x00f6	#LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x00f7	#DIVISION SIGN
0xf8	0x0159	#LATIN SMALL LETTER R WITH CARON
0xf9	0x016f	#LATIN SMALL LETTER U WITH RING ABOVE
0xfa	0x00fa	#LATIN SMALL LETTER U WITH ACUTE
0xfb	0x0171	#LATIN SMALL LETTER U WITH DOUBLE ACUTE
0xfc	0x00fc	#LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x00fd	#LATIN SMALL LETTER Y WITH ACUTE
0xfe	0x0163	#LATIN SMALL LETTER T WITH CEDILLA
0xff	0x02d9	#DOT ABOVE
