# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Code_page_921
#            https://en.wikipedia.org/wiki/ISO/IEC_8859-13


# characters 0x00-0x7f as in code page 437

0x80	0x2591	#LIGHT SHADE
0xd5	0x00d5  #LATIN CAPITAL LETTER O WITH TILDE
0xd6	0x00d6  #LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7	0x00d7  #MULTIPLICATION SIGN
0xd8	0x0172  #LATIN CAPITAL LETTER U WITH OGONEK
0xd9	0x0141  #LATIN CAPITAL LETTER L WITH STROKE
0xda	0x015a  #LATIN CAPITAL LETTER S WITH ACUTE
0xdb	0x016a  #LATIN CAPITAL LETTER U WITH MACRON
0xdc	0x00dc  #LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd	0x017b  #LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xde	0x017d  #LATIN CAPITAL LETTER Z WITH CARON
0xdf	0x00df  #LATIN SMALL LETTER SHARP S
0xe0	0x0105  #LATIN SMALL LETTER A WITH OGONEK
0xe1	0x012f  #LATIN SMALL LETTER I WITH OGONEK
0xe2	0x0101  #LATIN SMALL LETTER A WITH MACRON
0xe3	0x0107  #LATIN SMALL LETTER C WITH ACUTE
0xe4	0x00e4  #LATIN SMALL LETTER A WITH DIAERESIS
0xe5	0x00e5  #LATIN SMALL LETTER A WITH RING ABOVE
0xe6	0x0119  #LATIN SMALL LETTER E WITH OGONEK
0xe7	0x0113  #LATIN SMALL LETTER E WITH MACRON
0xe8	0x010d  #LATIN SMALL LETTER C WITH CARON
0xe9	0x00e9  #LATIN SMALL LETTER E WITH ACUTE
0xea	0x017a  #LATIN SMALL LETTER Z WITH ACUTE
0xeb	0x0117  #LATIN SMALL LETTER E WITH DOT ABOVE
0xec	0x0123  #LATIN SMALL LETTER G WITH CEDILLA
0xed	0x0137  #LATIN SMALL LETTER K WITH CEDILLA
0xee	0x012b  #LATIN SMALL LETTER I WITH MACRON
0xef	0x013c  #LATIN SMALL LETTER L WITH CEDILLA
0xf0	0x0161  #LATIN SMALL LETTER S WITH CARON
0xf1	0x0144  #LATIN SMALL LETTER N WITH ACUTE
0xf2	0x0146  #LATIN SMALL LETTER N WITH CEDILLA
0xf3	0x00f3  #LATIN SMALL LETTER O WITH ACUTE
0xf4	0x014d  #LATIN SMALL LETTER O WITH MACRON
0xf5	0x00f5  #LATIN SMALL LETTER O WITH TILDE
0xf6	0x00f6  #LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x00f7  #DIVISION SIGN
0xf8	0x0173  #LATIN SMALL LETTER U WITH OGONEK
0xf9	0x0142  #LATIN SMALL LETTER L WITH STROKE
0xfa	0x015b  #LATIN SMALL LETTER S WITH ACUTE
0xfb	0x016b  #LATIN SMALL LETTER U WITH MACRON
0xfc	0x00fc  #LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x017c  #LATIN SMALL LETTER Z WITH DOT ABOVE
0xfe	0x017e  #LATIN SMALL LETTER Z WITH CARON
0xff	0x2019  #RIGHT SINGLE QUOTATION MARK
