# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Extended_Latin-8


# characters 0x00-0x7f as in code page 437


0x80	0x20ac	#EURO SIGN
0xf5	0x00f5	#LATIN SMALL LETTER O WITH TILDE
0xf6	0x00f6	#LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x1e6b	#LATIN SMALL LETTER T WITH DOT ABOVE
0xf8	0x00f8	#LATIN SMALL LETTER O WITH STROKE
0xf9	0x00f9	#LATIN SMALL LETTER U WITH GRAVE
0xfa	0x00fa	#LATIN SMALL LETTER U WITH ACUTE
0xfb	0x00fb	#LATIN SMALL LETTER U WITH CIRCUMFLEX
0xfc	0x00fc	#LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x00fd	#LATIN SMALL LETTER Y WITH ACUTE
0xfe	0x0177	#LATIN SMALL LETTER Y WITH CIRCUMFLEX
0xff	0x00ff	#LATIN SMALL LETTER Y WITH DIAERESIS
