# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/Code_page_708


# characters 0x00-0x7f as in code page 437

0x80	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0xa3	0x251c	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xa4	0x00a4	#CURRENCY SIGN
0xa5	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0xa6	0x253c	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xa7	0x255e	#BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xa8	0x255f	#BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
0xa9	0x255a	#BOX DRAWINGS DOUBLE UP AND RIGHT
0xaa	0x2554	#BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xab	0x2569	#BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xac	0x060c	#ARABIC COMMA
0xad	0x2566	#BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xae	0x00ab	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xaf	0x00bb	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xb0	0x2591	#LIGHT SHADE
0xb1	0x2592	#MEDIUM SHADE
0xb2	0x2593	#DARK SHADE
0xb3	0x2560	#BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xb4	0x2550	#BOX DRAWINGS DOUBLE HORIZONTAL
0xb5	0x256c	#BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xb6	0x2567	#BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
0xb7	0x2568	#BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
0xb8	0x2564	#BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
0xb9	0x2565	#BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
0xba	0x2559	#BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
0xbb	0x061b	#ARABIC SEMICOLON
0xbc	0x2558	#BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xbd	0x2552	#BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
0xbe	0x2553	#BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
0xbf	0x061f	#ARABIC QUESTION MARK
0xc0		#UNDEFINED
0xc1	0x0621	#ARABIC LETTER HAMZA
0xc2	0x0622	#ARABIC LETTER ALEF WITH MADDA ABOVE
0xc3	0x0623	#ARABIC LETTER ALEF WITH HAMZA ABOVE
0xc4	0x0624	#ARABIC LETTER WAW WITH HAMZA ABOVE
0xc5	0x0625	#ARABIC LETTER ALEF WITH HAMZA BELOW
0xc6	0x0626	#ARABIC LETTER YEH WITH HAMZA ABOVE
0xc7	0x0627	#ARABIC LETTER ALEF
0xc8	0x0628	#ARABIC LETTER BEH
0xc9	0x0629	#ARABIC LETTER TEH MARBUTA
0xca	0x062a	#ARABIC LETTER TEH
0xcb	0x062b	#ARABIC LETTER THEH
0xcc	0x062c	#ARABIC LETTER JEEM
0xcd	0x062d	#ARABIC LETTER HAH
0xce	0x062e	#ARABIC LETTER KHAH
0xcf	0x062f	#ARABIC LETTER DAL
0xd0	0x0630	#ARABIC LETTER THAL
0xd1	0x0631	#ARABIC LETTER REH
0xd2	0x0632	#ARABIC LETTER ZAIN
0xd3	0x0633	#ARABIC LETTER SEEN	
0xd4	0x0634	#ARABIC LETTER SHEEN
0xd5	0x0635	#ARABIC LETTER SAD
0xd6	0x0636	#ARABIC LETTER DAD
0xd7	0x0637	#ARABIC LETTER TAH
0xd8	0x0638	#ARABIC LETTER ZAH
0xd9	0x0639	#ARABIC LETTER AIN
0xda	0x063a	#ARABIC LETTER GHAIN
0xdb	0x2588	#FULL BLOCK
0xdc	0x2584	#LOWER HALF BLOCK
0xdd	0x258c	#LEFT HALF BLOCK
0xde	0x2590	#RIGHT HALF BLOCK
0xdf	0x2580	#UPPER HALF BLOCK
0xe0	0x0640	#ARABIC TATWEEL
0xe1	0x0641	#ARABIC LETTER FEH
0xe2	0x0642	#ARABIC LETTER QAF
0xe3	0x0643	#ARABIC LETTER KAF
0xe4	0x0644	#ARABIC LETTER LAM
0xe5	0x0645	#ARABIC LETTER MEEM
0xe6	0x0646	#ARABIC LETTER NOON
0xe7	0x0647	#ARABIC LETTER HEH
0xe8	0x0648	#ARABIC LETTER WAW
0xe9	0x0649	#ARABIC LETTER ALEF MAKSURA
0xea	0x064a	#ARABIC LETTER YEH
0xeb	0x064b	#ARABIC FATHATAN
0xec	0x064c	#ARABIC DAMMATAN
0xed	0x064d	#ARABIC KASRATAN
0xee	0x064e	#ARABIC FATHA
0xef	0x064f	#ARABIC DAMMA
0xf0	0x0650	#ARABIC KASRA
0xf1	0x0651	#ARABIC SHADDA
0xf2	0x0652	#ARABIC SUKUN
0xf3		#UNDEFINED
0xf4		#UNDEFINED
0xf5		#UNDEFINED
0xf6		#UNDEFINED
0xf7		#UNDEFINED
0xf8		#UNDEFINED
0xf9	0x256a	#BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xfa	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xfb	0x250c	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xfc	0x00b5	#MICRO SIGN
0xfd	0x00a3	#POUND SIGN
0xfe	0x25a0	#BLACK SQUARE
0xff	0x00a0	#NO-BREAK SPACE
