# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ISO/IEC_8859-11
#            https://learn.microsoft.com/en-us/windows/win32/intl/code-page-identifiers


# characters 0x00-0x7f as in code page 437

0x80		#UNDEFINED
0x81		#UNDEFINED
0x82		#UNDEFINED
0x83		#UNDEFINED
0x84		#UNDEFINED
0x85		#UNDEFINED
0x86		#UNDEFINED
0x87		#UNDEFINED
0x88		#UNDEFINED
0x89		#UNDEFINED
0x8a		#UNDEFINED
0x8b		#UNDEFINED
0x8c		#UNDEFINED
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91		#UNDEFINED
0x92		#UNDEFINED
0x93		#UNDEFINED
0x94		#UNDEFINED
0x95		#UNDEFINED
0x96		#UNDEFINED
0x97		#UNDEFINED
0x98		#UNDEFINED
0x99		#UNDEFINED
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0	0x00a0  #NO-BREAK SPACE
0xe2	0x0e42  #THAI CHARACTER SARA O
0xe3	0x0e43  #THAI CHARACTER SARA AI MAIMUAN
0xe4	0x0e44  #THAI CHARACTER SARA AI MAIMALAI
0xe5	0x0e45  #THAI CHARACTER LAKKHANGYAO
0xe6	0x0e46  #THAI CHARACTER MAIYAMOK
0xe7	0x0e47  #THAI CHARACTER MAITAIKHU
0xe8	0x0e48  #THAI CHARACTER MAI EK
0xe9	0x0e49  #THAI CHARACTER MAI THO
0xea	0x0e4a  #THAI CHARACTER MAI TRI
0xeb	0x0e4b  #THAI CHARACTER MAI CHATTAWA
0xec	0x0e4c  #THAI CHARACTER THANTHAKHAT
0xed	0x0e4d  #THAI CHARACTER NIKHAHIT
0xee	0x0e4e  #THAI CHARACTER YAMAKKAN
0xef	0x0e4f  #THAI CHARACTER FONGMAN
0xf0	0x0e50  #THAI DIGIT ZERO
0xf1	0x0e51  #THAI DIGIT ONE
0xf2	0x0e52  #THAI DIGIT TWO
0xf3	0x0e53  #THAI DIGIT THREE
0xf4	0x0e54  #THAI DIGIT FOUR
0xf5	0x0e55  #THAI DIGIT FIVE
0xf6	0x0e56  #THAI DIGIT SIX
0xf7	0x0e57  #THAI DIGIT SEVEN
0xf8	0x0e58  #THAI DIGIT EIGHT
0xf9	0x0e59  #THAI DIGIT NINE
0xfa	0x0e5a  #THAI CHARACTER ANGKHANKHU
0xfb	0x0e5b  #THAI CHARACTER KHOMUT
0xfc		#UNDEFINED
0xfd		#UNDEFINED
0xfe		#UNDEFINED
0xff		#UNDEFINED
