# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ISO/IEC_8859-7


# characters 0x00-0x7f as in code page 437

0x80		#UNDEFINED
0x81		#UNDEFINED
0x82		#UNDEFINED
0x83		#UNDEFINED
0x84		#UNDEFINED
0x85		#UNDEFINED
0x86		#UNDEFINED
0x87		#UNDEFINED
0x88		#UNDEFINED
0x89		#UNDEFINED
0x8a		#UNDEFINED
0x8b		#UNDEFINED
0x8c		#UNDEFINED
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91		#UNDEFINED
0x92		#UNDEFINED
0x93		#UNDEFINED
0x94		#UNDEFINED
0x95		#UNDEFINED
0x96		#UNDEFINED
0x97		#UNDEFINED
0x98		#UNDEFINED
0x99		#UNDEFINED
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0	0x00a0  #NO-BREAK SPACE
0xcf	0x039f  #GREEK CAPITAL LETTER OMICRON
0xd0	0x03a0  #GREEK CAPITAL LETTER PI
0xd1	0x03a1  #GREEK CAPITAL LETTER RHO
0xd2		#UNDEFINED
0xd3	0x03a3  #GREEK CAPITAL LETTER SIGMA
0xd4	0x03a4  #GREEK CAPITAL LETTER TAU
0xd5	0x03a5  #GREEK CAPITAL LETTER UPSILON
0xd6	0x03a6  #GREEK CAPITAL LETTER PHI
0xd7	0x03a7  #GREEK CAPITAL LETTER CHI
0xd8	0x03a8  #GREEK CAPITAL LETTER PSI
0xd9	0x03a9  #GREEK CAPITAL LETTER OMEGA
0xda	0x03aa  #GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0xdb	0x03ab  #GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0xdc	0x03ac  #GREEK SMALL LETTER ALPHA WITH TONOS
0xdd	0x03ad  #GREEK SMALL LETTER EPSILON WITH TONOS
0xde	0x03ae  #GREEK SMALL LETTER ETA WITH TONOS
0xdf	0x03af  #GREEK SMALL LETTER IOTA WITH TONOS
0xe0	0x03b0  #GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
0xe1	0x03b1  #GREEK SMALL LETTER ALPHA
0xe2	0x03b2  #GREEK SMALL LETTER BETA
0xe3	0x03b3  #GREEK SMALL LETTER GAMMA
0xe4	0x03b4  #GREEK SMALL LETTER DELTA
0xe5	0x03b5  #GREEK SMALL LETTER EPSILON
0xe6	0x03b6  #GREEK SMALL LETTER ZETA
0xe7	0x03b7  #GREEK SMALL LETTER ETA
0xe8	0x03b8  #GREEK SMALL LETTER THETA
0xe9	0x03b9  #GREEK SMALL LETTER IOTA
0xea	0x03ba  #GREEK SMALL LETTER KAPPA
0xeb	0x03bb  #GREEK SMALL LETTER LAMDA
0xec	0x03bc  #GREEK SMALL LETTER MU
0xed	0x03bd  #GREEK SMALL LETTER NU
0xee	0x03be  #GREEK SMALL LETTER XI
0xef	0x03bf  #GREEK SMALL LETTER OMICRON
0xf0	0x03c0  #GREEK SMALL LETTER PI
0xf1	0x03c1  #GREEK SMALL LETTER RHO
0xf2	0x03c2  #GREEK SMALL LETTER FINAL SIGMA
0xf3	0x03c3  #GREEK SMALL LETTER SIGMA
0xf4	0x03c4  #GREEK SMALL LETTER TAU
0xf5	0x03c5  #GREEK SMALL LETTER UPSILON
0xf6	0x03c6  #GREEK SMALL LETTER PHI
0xf7	0x03c7  #GREEK SMALL LETTER CHI
0xf8	0x03c8  #GREEK SMALL LETTER PSI
0xf9	0x03c9  #GREEK SMALL LETTER OMEGA
0xfa	0x03ca  #GREEK SMALL LETTER IOTA WITH DIALYTIKA
0xfb	0x03cb  #GREEK SMALL LETTER UPSILON WITH DIALYTIKA
0xfc	0x03cc  #GREEK SMALL LETTER OMICRON WITH TONOS
0xfd	0x03cd  #GREEK SMALL LETTER UPSILON WITH TONOS
0xfe	0x03ce  #GREEK SMALL LETTER OMEGA WITH TONOS
0xff		#UNDEFINED
